HOSPITAL NAME,Address,CITY
Kukreja Hospital And Heart Centre,"C-1, Vishal Enclave, Rajouri Garden",New Delhi
Sharp Sight Centre (East),"A-6 & 7, Swasthya Vihar, Opp.Metro Pillar No-83, Vikas Marg, Delhi-110092",New Delhi
Eye Q Super Speciality Eye Hospital,"Plot No-522, Sec-27, Gurgaon-122009",Gurugram
Astha Hospital,"Nh-05, Block - I, Sector Alpha - 2, Greater Noida",Noida
Kukreja Hospital,"No.D-36, Acharya Niketan,Mayur Vihar Phase - 1",New Delhi
Durga Hospital (P) Ltd.,"711,Mukherjee Nagar",New Delhi
Prime Hospital & Ortho Centre,"Site No. 1,Huda Market, Sector-30,Faridabad-121002",Faridabad
Pentamed Hospital,"7, Local Shopping Centre, Phase - 4, Derawal Nagar, Gujrawala Town",New Delhi
Gopal Nursing Home And Eye Hospital,"B-1, West Jyoti Nagar,Shahdara",New Delhi
Icare Eye Hospital & P.G. Inst Glaucoma Research Centre,"E3A,Sector-26",Noida
Visitech Hospital Pvt. Ltd,"R-13, Greater Kailash-I",New Delhi
Satya Medical Centre,"A-98/A, Sector - 34",Noida
Umkal Healthcare Pvt. Ltd.,"H Block,Opp.Chancellor Club, Palam Vihar",Gurugram
Kalyani Hospital Pvt. Ltd.,"Government College, Mehrauli Road",Gurugram
Sethi Hospital,"301-302/4, Model Town",Gurugram
M.G.S. Hospital,"Rohtak Road, West Punjabi Bagh",New Delhi
Banarsidas Chandiwala Institute Of Medical Sciences,"Chandiwala Estate, Maa Anandmai Ashram Marg, Kalkaji",New Delhi
Dr. Shroff S Charity Eye Hospital,"5027,Kedar Nath Road,Daryaganj",New Delhi
Khandelwal Hospital & Urology Centre,"B-16,East Krishna Nagar",New Delhi
Sir Ganga Ram Hospital,"Sir Ganga Ram Hospital Marg, Old Rajinder Nagar",New Delhi
Medanta The Medicity,"Sector 38, Rajeev Chowk",Gurugram
Shroff Eye Centre,"A-9, Kailash Colony",New Delhi
Paras Hospitals,"C-1,Sushant Lok,Phase-I,Sec - 43",Gurugram
Mata Chanan Devi Hospital,"C-1, Janakpuri",New Delhi
Sunder Lal Jain Charitable Hospital,"Ashok Vihar, Phase Iii",New Delhi
Sparsh Medicare & Trauma Centre,"Shakti Khand-Iii/54, Indirapuram",Ghaziabad
Walia Nursing And Maternity Home,"G- 60, Vikas Marg, Laxmi Nagar, Delhi-110092, Opposite Metro Pillar No.40",New Delhi
Neelkanth Hospital Pvt. Ltd.,1 Nathupur Road,Gurugram
Kamal Hospital,"Ka Block,Kaushambi Near Telephone Exchange/Metro Station,Kaushambi",Ghaziabad
Samvit Healthcare,"1,Sohna Road,Islampur",Gurugram
Jeevan Jyoti Hospital,B 28 Kiran Garden Uttam Nagar,New Delhi
Talwar Medical Centre,"M 139, Greater Kailsh Ii",New Delhi
Joy Nursing Home,"J 5/49F,Rajauri Garden",New Delhi
Sant Parmanand Hospital,"18,Shamnath Marg, Civil Lines",New Delhi
Sodhi Nursing Home And Ent Hospital,"455,Bhera Enclave,Paschim Vihar,New Delhi",New Delhi
Sama Hospital,"8, Siri Fort Road",New Delhi
Bali Nursing Home,"20-B/3, D.B. Gupta Road,Karol Bagh",New Delhi
Surya Hospital,"383/11-C, East Azad Nagar, Krishna Nagar",New Delhi
Med First Ent Centre,"D-3/14, Vasant Vihar Opp Vasant Vihar Club",New Delhi
Delhi Hospital & Temple Nursing Home,"1, Ansari Road,Drya Ganj",New Delhi
Aarogya Hospital Gzb,"Plot No. Nh-1, Sec-Vi Vaishali, Ghaziabad",Ghaziabad
Dr Gupta Nursing Home & Hospital,"25, Raj Block,Naveen Shahdara",New Delhi
Indraprastha Medical Corporation Limited,Sarita Vihar Delhi Mathura Road,New Delhi
Indraprastha Medical Corporation Limited,E-2 Sector-26,Noida
Jaipur Golden Hospital,"2, Institutional Area, Sector-3, Rohini",New Delhi
Tirupati Eye Centre,"C-53C,Sector-33,Noida-201301",Noida
R.K. Hospital,3C-59 B.P. E.S.I. Hospital,Faridabad
Navjeevan Medical Centre,"T-655,Onkar Nagar Delhi-110035",New Delhi
Dr Mehta Eye Care,"5E/08, B.P Railway Road, Near Neelam Chowk, Nit",Faridabad
Krishna Hospital & Trauma Centre,"J, 85,Patel Nagar, I",Ghaziabad
Aster Eye Care,"32, Ring Road, Lajpat Nagar - Iv,",New Delhi
Apex Multispeciality And Laparoscopy Hospital,"3C-79,B.P.N.I.T Faridabad",Faridabad
Shroff Eye Centre,"110-Commercial Plaza,Radisson Suites,B-Block,Sushant Lok Phase-I,Gurgaon,Haryana",Gurugram
Spectra Eye,"E-82 A, Greater Kailash, New Delhi",New Delhi
R.G Scientific Enterprises Ltd.(R G Stone Urological Research Institute),"F-12, East Of Kailash",New Delhi
R.G. Stone Urology & Laparoscopy Hospital,"195, Deepali Chowk, Pitampura",New Delhi
R.G. Stone & Urology & Laproscopy Hospital Nd,"B-1, Vishal Enclave, Rajouri Garden",New Delhi
R.G. Stone Urology & Laparoscopy Hospital,"18,Gagan Vihar",New Delhi
Rg Stone Urology & Laparoscopy Hospital,"A-6,Nehru Ground Neelam Bata Road,Nit",Faridabad
Trinity Sunrise Healthcare Pvt Ltd,"F1, Kalindi Colony, Near Maharani Bagh, New Delhi",New Delhi
Park Hospital,"J - Block, Sector - 10 Near Court Faridabad, Haryana",Faridabad
Park Hospital (Delhi),"12,Meera Enclave,Near Keshopur Bus Depot,Outer Ring Road",New Delhi
Asian Institute Of Medical Sciences Fbd,"Sector 21 A,Main Badkal Road",Faridabad
Park Hospital,"Q-Block,South City-Ii, Sohna Road, Main Sec-47, Gurgaon",Gurugram
Manipal Hospitals,"Block - F Gol Chakkar,Palam Vihar",Gurugram
Manipal Hospitals,"Nh-24, Opp. Bahmeta Village, Near Landcraft Golflinks",Ghaziabad
Shanti Devi Memorial Hospital,"Sector - 89, Kheri More, Bhopani, Faridabad",Faridabad
Bhagwati Hospital,"Cs/Ocf - 6, Sector-13, Rohini",New Delhi
Khetarpal Nursing Home,"Gn-5, Shivaji Enclave, F N G Sector Raja Gardens, Rajouri Garden",New Delhi
Bhatia Orthopaedic And Maternity Nursing Home.,390 Sector- 7B,Faridabad
Umkal Hospital And M.P. Heart Research Institute,"A-520,Sushant Lok1",Gurugram
Jeewan Nursing Home And Hospital,"2-B, Pusa Road",New Delhi
Ganesh Hospital,"Ii-C/3,Nehru Nagar",Ghaziabad
Holy Family Hospital,"Okhla Road,New Delhi-110025 , Delhi",New Delhi
C.K. Memorial Kapoor Hospital,"3B/8A,Nit 3,Near Dav College Road",Faridabad
Metro Hospital And Heart Institute (Metro Heart Institute),"X-1, Sector - 12, Near Sahara Samay News Paper",Noida
Aryan Hospital Pvt. Ltd.,Old Railway Road,Gurugram
Medicheck Hospital,"1 C76/53,Near I.O.B. Bank,Nit",Faridabad
Handa Medical Centre,"Nh Site No 1,Sector 16, Opp Sagar Cinema",Faridabad
Tarak Hospital India Pvt Ltd,"C-7,Jai Bharat Enclave,Dwarka More,Delhi-110059",New Delhi
Mahindru Hospitals Pvt. Ltd,"E 1, Kiran Garden",New Delhi
East Delhi Medical Centre,"1/550,G.T. Road,Mansarovar Park,Shahdara",New Delhi
Saroj Super Speciality Hospital,"Sector-14 Extn, Institutional Area, Madhubhan Chowk Rohini",New Delhi
Lall Nursing & Maternity Home,New Railway Road Opp Pawa Nursing Home,Gurugram
Lall Eye Care Centre,New Railway Road,Gurugram
K.K. Surgical & Maternity Centre,"B-37, East Jyoti Nagar, Loni Road, Shahdara",New Delhi
Mata Roop Rani Maggo & Mahindru Hospital,"C 9, Om Vihar Phase 7, Uttam Nagar, Metro Pilas 708 , New Delhi",New Delhi
Fortis Memorial Research Institute,"Sec 44 Gurgaon , Gurgaon",Gurugram
Fortis C Doc Healthcare Ltd,"B - 16, Chirag Enclave, Opp. Nehru Place, Devika Tower, New Delhi , New Delhi",New Delhi
Medicheck Ortho Superspeciality Hospital,"Site-2,Sec-46, Near Community Centre, Faridabad-121010 , Faridabad",Faridabad
Felix Hospital,"Nh-01, Sector -137, G.B Nagar, Noida , Noida",Noida
Maharaja Agrasen Hospital Dwarka,"Plot-1,Sec-1,Dwarka New Delhi , New Delhi",New Delhi
Amicare Hospital Pvt Ltd,"Plot No.15/16,Nyay Khand-I,Near Indira Puram Public School,Indirapuram,Ghaziabad-201014 , Ghaziabad",Ghaziabad
Aashlok Fortis Hospital,"25 Ab Community Centre Safdarjung Enclave New Delhi-110029 , New Delhi",New Delhi
Noida Medicare Centre Ltd.,"16 C, Block - E, Sector-30",Noida
Escorts Heart Institute Research Centre Ltd.,Okhla Road,New Delhi
Fortis Hospitals Limited Faridabad,"Neelam Bata Road,N.I.T.",Faridabad
Fortis Flt Lt Rajan Dhall Hospital,"B-1, Pocket - 1, Aruna Asaf Ali Marg, Vasant Kunj",New Delhi
Fortis Hospital Noida,"B-22,Sector-62",Noida
Fortis Hospital Shalimar Bagh,"A - Block, Shalimaar Bagh, Delhi",New Delhi
Vimhans Institute Of Mental Health And Neurosciences,"No. 1 Institutional Area, Nehru Nagar , New Delhi",New Delhi
Dr Sushma Jindal Hospital,"488/15, Dilshad Garden, (Near Radha Krishan Mandir), New Delhi-110095",New Delhi
Universal Hospital,"Bye Pass Road,Molarband Extn. Badarpur New Delhi-110044 , New Delhi",New Delhi
Cygnus Mls Hospital,"Plot No 4 Main Kanjhawla Road Near Balaji Mandir Rama Vihar Delhi-110081 , New Delhi",New Delhi
Mahajan Eye Centre,"21A Ad Block, Pitampura Outer Ring Road Near Madhuban Chowk Pitampura Metro Station New Delhi-110034 , New Delhi",New Delhi
Bhagwan Mahavir Hospital,"Sector 14 Near Madhuban Chowk Rohini Delhi-110085 , New Delhi",New Delhi
Sarthak Medical Centre,"Rz-2C, Main Road, Palm Village",New Delhi
Genesis Hospital Pvt Ltd,"C-1/130,Near Mata Chanan Devi Hospital,Janak Puri",New Delhi
Metro Hospital And Heart Institute (Metro Multi Speciality Hospital),"L-94, Sec.- 11",Noida
Metro Hospital & Heart Institute,"14, Ring Road,Lajpat Nagar",New Delhi
Lotus Hospital,"Wz 409- A, Janak Park,Hari Nagar",New Delhi
Nayan Jyoti Eye Centre,"1A-251, First Floor, Nit- 121001, Neelam Bata Road Near Kotwali Police Station, Faridabad-121001",Faridabad
Prakash Hospital,"Site No.2,Near Aggarwal Public School,Sector - 3",Faridabad
Venu Eye Insititute,"1/13,Sheikh Sarai,Phase Ii , New Delhi",New Delhi
Rs Grover Memorial Hospital,"B-243, Priyadarshini Vihar, Delhi , New Delhi",New Delhi
Kailash Eye Care,"50-51 South Patel Nagar New Delhi-110008 , New Delhi",New Delhi
Qrg Health City A Unit Of Qrg Medicare Ltd,"Plot No.1,Sector-16,Faridabad-121002 , Faridabad",Faridabad
Delhi Eye Centre,"C-120, New Rajinder Nagar,Shankar Road , New Delhi",New Delhi
Divya Prastha Super Multispeciality Healthcare Pvt Ltd,"Rz-37, Opposite Bagh Wala School, Main Road, Palam Colony-110045-New Delhi , New Delhi",New Delhi
Chandna Medical Centre,"52 & 85,Sector - 18A,Near Subzi Mandi,Old Faridabad",Faridabad
Shivalik Hospital,"Huda Market, Sector-37",Faridabad
Ibs Ashwani Hospital,"Plot No 8-D/1, Ymca Road, Sector 11, Faridabad , Faridabad Sector 8 , Ballabgarh , Haryana",Faridabad
Yashoda Hospital,"Iii-M,Nehru Nagar",Ghaziabad
Yashoda Super Speciality Hospital,"H-1,Kaushambhi",Ghaziabad
Indian Spinal Injuries Centre,"Sector-C, Vasant Kunj",New Delhi
Indo Gulf Diagnostics And Research Centre Pvt Ltd,"B - 498A, Sector - 19, Noida, Uttar Pradesh , Noida",Noida
Sci International Isis Hospital Pvt Ltd,"M-4, Greater Kailash, Part -1 Near M-Block Market , New Delhi",New Delhi
Kartik Nursing Home And Urology Centre,"C-15, C-Block Community Centre (Behind Janak Cinema), Janak Puri, New Delhi-110058 , New Delhi",New Delhi
B L Kapur Memorial Hospital,Pusa Road,New Delhi
Sehgal Neo Hospital,"B-364, Meera Bagh, Outer Ring Road",New Delhi
Shanti Mukand Hospital,"2, Institutional Area, Dayanand Vihar, Vikas Marg Extension",New Delhi
Zenith Hospital Pvt Ltd,"187/1 Yadav Colony Mohana Road,Near Punjabi Dharamshala Ballabgarh",Ballabgarh
Raj Rishik Hospital Private Limited,"Site No-6, Near Aggarwal Public School,Sec-3, Faridabad",Ballabgarh
Narinder Mohan Hospital And Heart Centre,"Mohan Nagar, Ghaziabad-201007",Ghaziabad
Eye Care Centre,1368-B Sector-14,Faridabad
Aastha Eye Centre,"5R/5,N.I.T.",Faridabad
Sukhmani Hospital,"B-7 Extn/126 A, Safdarjung Enclave",New Delhi
Sarvodaya Hospital And Research Centre,"Ymca Road, Near Esi Hospital,Sector - 8",Faridabad
Drishti Eye Centre - Faridabad,"20-21F, Fruit Garden, Nit Nh-5",Faridabad
B.M Gupta Nursing Home Pvt.Ltd.,"H-11-15 Arya Samaj Road,Uttam Nagar",New Delhi
Jeewan Hospital And Nursing Home Pvt. Ltd.,"Gate No. - 1,Jeewan Nagar",New Delhi
Shreya Eye Centre,"D 163,Surajmal Vihar",New Delhi
Batra Hospital And Medical Research Centre,"1, Tughlakabad Institutional Area",New Delhi
Vision Eye Hospital,"F- 24/136,Sector - 7,Rohini",New Delhi
Artemis Medicare Services Ltd.,Sector- 51,Gurugram
Narang Eye Institute,B-8 Derawal Nagar Near Model Town Metro Station,New Delhi
Bharti Eye Foundation,"1/3, East Patel Nagar",New Delhi
Bharti Eye Hospital,"E-52, G.K.-1, New Delhi",New Delhi
Vision Eye Centre,"12/27, West Patel Nagar, Near Arya Samaj Mandir,",New Delhi
Agrawal Eye Institute,"A - 235,Shivalik,Malviya Nagar",New Delhi
Ayushman Hospital,"Plot No.2, Sector - 12,Dwarka",New Delhi
M.D. Eye Care & Laser Centre,M-165 Greater Kailash Part - 2,New Delhi
Bansal Hospital (A Unit Of Namedi Hospital Pvt. Ltd),"A-1, New Friends Colony",New Delhi
Tirath Ram Shah Charitable Hospital,"2, Battary Lane, Rajpur Road, Near Tis Hazari Court",New Delhi
Max Multispeciality Hospital A Unit Of Four Seasons Foundation,"Plot No. 4A, Sector Institutional Green, Near Crown Plaza Hotel, Greater Noida",Greater Noida
Max Smart Super Speciality Hospital,"Mandir Marg, Saket",New Delhi
Max Hospital,"N- 110 , Panchsheel Park , New Delhi",New Delhi
"Max Super Specialty, West Block Saket","1, Press Enclave Road, Saket,",New Delhi
"Max Super Specialty, East Block Saket (Devki Devi Foundation","2, Press Enclave,Saket",New Delhi
Max Hospital,"Block B, Sushant Lok",Gurugram
Balaji Medical & Diagnostic Research Centre,"108-A I.P. Extension,Patparganj",New Delhi
Max Super Speciality Hospital,"W - 3, Sector - 1, Vaishali",Ghaziabad
"Max Super Speciality Hospital, Shalimar Bagh","Fc - 50, C & D Block, Shalimar Bagh, New Delhi - 88",New Delhi
Sarvodaya Hospital,"Gopi Colony,Sector-19,Faridabad-121006",Faridabad
Amit Nursing Home,"A-3, Manak Vihar Ext. Near Beriwala Bagh,Tihar,New Delhi",New Delhi
Bhagat Chandra Hospital,"Rz F-1/1,Mahavir Enclave,Dwarka",New Delhi
Bhagat Hospital,"D-2/48-49, Janakpuri",New Delhi
Jeewan Hospital And Nursing Home (Gate No. - 2),"150, Gate No. - 2,Jeewan Nagar, Opp. Maharani Bagh",New Delhi
Ahooja Eye & Dental Institute,"560/1,Daya Nand Colony,New Railway Road",Gurugram
Shivmani Hospital,"5E/9, Nit",Faridabad
Santom Hospital Pvt. Ltd.,"D - 5, Prashant Vihar",New Delhi
Vinayak Hospital,"Nh-1,Sector-27,Atta Market",Noida
Ghai Hospital,"Plot No. 29,Sector - 9",Faridabad
Amar Leela Hospital Pvt. Ltd,B - 1/6 Janak Puri,New Delhi
Navjyoti Eye Centre,"90, Darya Ganj",New Delhi
Kailash Hospital & Heart Institute,"H- 33, Sector 27, Noida",Noida
Chugh Hospital,"5L/164,K.C.Road,N.I.T,Faridabad-121001",Faridabad
Sunetram Eye Care,"5E/22 Bp,First Floor, B K Chowk,Nit-5 ,Faridabad-121001",Faridabad
Visitech Eye Center,"Plot No.-2. Pocket 1, Jasola Vihar, New Delhi- 110025",New Delhi
Foresight Eye Clinic Super Speciality Eye Care,"106, Rps Dda, Sheikh Sarai Phase - 1, Opp. Apeejay School, Malviya Nagar, New Delhi 110017",New Delhi
Rosewood Hospital,"5, Jl Block, Roshan Garden, Najafgarh, New Delhi",New Delhi
Neo Hospital A Unit Of Muskan Medical Centre Pvt Ltd,"D-170A,Sector-50,Noida-201301",Noida
Chopra Eye Hospital And Laser Centre,"House No.3,Pocket C-8,Sector-7,Rohini,Delhi",New Delhi
Eye Health Clinic Noida,"E - 1, Sector - 61, Noida",Noida
Sunetra Eye Laser And Dental Care Centre,"K C - 120, C- Blockkavi Nagar Ghaziabad",Ghaziabad
Jeevan Jyoti Clinic And Nursing Home,"M - 131, Vikas Puri, New Delhi",New Delhi
Sinha Hospital,"Plot No 3-A, Roshan Mandi,Near Pnb Atm, Tuda Mandi,Najafgarh,New Delhi",New Delhi
Chaudhary Eye Centre And Laser Vision,"4802, Bharat Ram Road(Ansari Road),24,Darya Ganj",New Delhi
Handa Nursing Home,"57, Raja Garden",New Delhi
Primus Super Speciality Hospital,"2 Chandragupt Marg, Chanakyapuri",New Delhi
Suman Super Speciality Hospital,"Plot No. 14,Pocket 04,Sector 7,Bindapur,Dwarka",New Delhi
Prakash Hospital,"D-12 12-A,B Sector- 33, Opposite Ntpc Eoc",Noida
Neera Eye Centre Laser Vision,"B-99, Bharat Ram Road, Opp. Commercial School, Daryaganj-110002",New Delhi
Ballabhgarh Nursing Home,"64-65 Mukesh Colony,Ballabhgarh",Faridabad
Paras Hospital,"Sec -4/130, Vaishali",Ghaziabad
Khetarpal Hospital,"F-95,Bali Nagar",New Delhi
Vision Plus Eye Centre,"Kisan Tower Ff & Sf, Golf Marg, Hoshiarpur, Sector-51,Noida , Uttar Pradesh , 201307",Noida
Surbhi Hospital Pvt Ltd,"Kh-232, Golf Course Road, Village Morna,Sector-35,Noida-201301",Noida
Khanna Eye Centre,"E368, Nirman Vihar , Vikas Marg",New Delhi
Santosh Multispeciality Hospital,"Shop No. 3F/139, Metro Rd, New Industrial Twp 3A, New Industrial Town, Faridabad, Haryana-121001",Faridabad
Venkateshwar Hospital,"Sector 18A, Dwarka, New Delhi-110075",New Delhi
Hope Oncology Clinic,"A-22, Hauz Kahs, New Delhi-110066",New Delhi
Apollo Spectra Hospitals Kailash Colony,"A-19/A,Kailash Colony,New Delhi-110048",New Delhi
Apollo Spectra Hospitals Karol Bagh,"66A/2,New Rohtak Road Karol Bagh, New Delhi-110005",New Delhi
Green City Hospital,"N.H. 17 Delta- I, Greater Noida",Noida
Manav Hospital & Laser Eye Centre,"B Block , Near Sbi Bank Kavi Nagar, Ghaziabad-201002",Ghaziabad
Visitech Eye Center South Ex,"A-10, South Extension Part-2, New Delhi-110049",New Delhi
Sanjeevan Medical Research Centre (P) Ltd.,"4869/24, Ansari Road, Darya Ganj",New Delhi
Kesar Hospital,"C-480 Chawala Colony,Ballabhgarh,Faridabad,Haryana",Faridabad
Vinayak Hospital,"Plot No-2 Main Road, Opposite Shakti Nagar Telephone Exchange, Derawal Nagar, Opposite Model Town",New Delhi
Ayushman Hospital And Health Services,"Sec-10, Dwarka",New Delhi
Atlanta Mediworld Multispeciality Hospital & Research Centre (Unit Of R R M Services),"Plot No-Nh-01, Sector-14, Atal Chowk Vasundhara",Ghaziabad
Malik Radix Healthcare Pvt Ltd,"C 218, Nirman Vihar",New Delhi
Meenakshi Hospital,B - 13 Kaushambhi,Ghaziabad
Rajiv Gandhi Cancer Inst. And Research Centre,"D-18, Sector - 5 Rohini, Delhi",New Delhi
Makkar Medical Centre,"A 1, Priyadarshini Vihar",New Delhi
Action Cancer Hospital,"H-2/Fc-34,A-4,Paschim,New Delhi",New Delhi
Kailash Hospital Limited,"23, Institutional Area, Greater Noida",Noida
Rana Eye Centre,"C-8/28 , First Floor , Sector 7 , Sai Baba Chowk , Rohini , Opp Metro Pillar 394 , Rohini Sector-7 , North Delhi-110085",New Delhi
Dev Eye Centre A Unit Of Skiffle Healthcare Services Ltd,"R - 10, Vakil Colony, Sector - 12, Pratap Vihar, Ghaziabad",Ghaziabad
Itek Vision Centre,"B-1A/22, Sector 51, Noida-201301",Noida
Jeewan Mala Hospital Pvt. Ltd.,"67/1,New Rohtak Road,Karol Bagh",New Delhi
Goyal Eye Institute,"1/10 East Patel Nagar Main Patel Road , Delhi , Central Delhi , Delhi-110008",New Delhi
Hitech Eye Centre,"A-12, 1St Floor, Main Najafgarh Road Vikas Puri, Opposite Metro Pillar No.632 , Delhi , West Delhi-255080",New Delhi
Satyabhama Hospital Pvt Ltd,"Rz - 10, Naresh Park, Near Water Tank, Najafgarh Road, Nangloi, New Delhi",New Delhi
Dr. Pattnaik'S Laser Eye-Institute-N Delhi.,"C-2, Ground Floor, Lajpat Nagar-3, New Delhi-110024",New Delhi
Shri Ram Singh Hospital And Heart Institute,"B-25-25, 26-A, East Krishna Nagar, Swarn Cinema Road,",New Delhi
Pushpanjali Medical Centre,"A-14-15, Pushpanjali",New Delhi
Delhi Heart And Lung Institute,"3-Mm Ii, Panchkuian Road",New Delhi
Aakash Healthcare,"Hospital Plot, Road No-201, Sector-3, Dwarka, New Delhi-110075",New Delhi
Delhi Eye Care,"4/17, 2Nd Floor, Balraj Khanna Marg, Opp. Jaypee Sidharth Hotel East Patel Nagar",New Delhi
Ahuja Eye Centre,"Ag-11, Shalimar Bagh, Main Ring Road, Delhi-110088",New Delhi
Save Sight Centre,"A-14,G.T.Road, Adarsh Nagar,Opp.Adarsh Metro Station,Delhi",New Delhi
Shanti Gopal Hospital,"Plot No. Nh-1,Ahinsa Khad-Ii,Indirapuram",Ghaziabad
I Create Hospital,"A-3/24,3Rd Floor,Janakpuri,New Delhi",New Delhi
Narayana Superspeciality Hospital,"Plot No-3201,Block-V, Dlf Phase-Iii,Sector-24.",Gurugram
Viaan Eye And Retina Centre,"Vg4 Besateck Square Mall,Sector 57, Gurgaon Haryana-122413",Gurugram
Drishti Eye And Ent Care,"Plot No-8,Sectpr-5 Vaishali",Ghaziabad
Tewari Eye Centre,"Hospital Cum Resi 699,Sector-5 Vaishali",Ghaziabad
Konarc Hospital,"9A/1,Naresh Park,Near Water Tank, Main Najafgarh Road, Nangloi",New Delhi
Jagmohan Multispeciality Hospital,"E-10, Rajeshwari Park, Loni, Ghaziabad-201102",Ghaziabad
Navin Medicare Pvt Ltd,"N.H.- 3, Pocket - F , Sector - Alpha - Ii Greater Noida Uttar Pradesh-201301",Greater Noida
Central Hospital,"A 142,Ganesh Nagar,Near Tilak Nagar",New Delhi
Manipal Hospitals,"Adjoing Mtnl Bulinding,Main Road,Sec-6,Dwarka,New Delhi",New Delhi
Pawan Hospital,Samaypur Road Rajiv Colony Near Sec-56 Ballabhargh Faridabad-121004,Ballabgarh
Sharda Hospital,32 34 Knowledge Park Iii Greater Noida,Noida
Yatharth Wellness Superspecility Hospital & Heart Centre,"Plot No-01 Sector-110, Noida-201304",Noida
Dashmesh Hospital,"C-141, Shiv Nagar Ext.,Jail Road, New Delhi-110058",New Delhi
Jain Eye Hospital And Laser Centre,"Ag - 152, Shalimar Bagh, New Delhi",New Delhi
Mayom Hospital,"D - Block, South City - I, Gurgaon",Gurugram
Dr Bajaj Eye Hospital Pvt Ltd,"A-1/1, Ist Floor Nathu Colony Chowk,Shahdara,New Delhi-110093",New Delhi
Dr Aggarwals Eye Clinic,"F - 17, Moti Nagar, New Delhi",New Delhi
I Clinix Advanced Eye Care,"27/171 Vikram Vihar, Near Moolchand Station Lajpat Nagar-4",New Delhi
Shree Aggarsain International Hospital,"Sector-22,Rohini,Delhi",New Delhi
Vikas Hospital Pvt Ltd,"1629-H, Thana Road, Najafgarh",New Delhi
Goyal Hospital,Site No. 2 Sec -8,Faridabad
Surya Kiran Hospital,"31, Roshan Mandi, Najafgarh, New Delhi-110043",New Delhi
Pushpawati Singhania Research Institute For Liver Renal And Digestive Diseases.,"Press Enclave Marg, Sheikh Sarai,Phase - Ii",New Delhi
Suraksha Eye Surgery Centre,"B-15,Ground Floor,Rana Pratap Bagh,Delhi",New Delhi
Shankar Medicare Centre,3/184 Sector 28 Link Road Near Anupam Sweets Faridabad,Faridabad
Shri Mool Chand Kharaiti Ram Hospital And Ayurvedic Research Institute,Lajpat Nagar- 3,New Delhi
